movie_id,movies,rank,movie_rating,rated,year,actors,genre,director,gross
tt1517489,      Spy Kids 4: All the Time in the World,69,3.7,PG,2011,"Jessica Alba, Jeremy Piven, Joel McHale","Animation, Action, Adventure",Robert Rodriguez,"$38,538,188"
tt0103923,      Captain America,70,3.7,PG-13,1990,"Matt Salinger, Ronny Cox, Ned Beatty","Action, Adventure, Sci-Fi",Albert Pyun,N/A
tt0110647,      The NeverEnding Story III,71,3.7,G,1994,"Jason James Richter, Melody Kay, Jack Black","Adventure, Comedy, Family",Peter MacDonald,N/A
tt0120185,      Spice World,72,3.7,PG,1997,"Mel B, Emma Bunton, Melanie C","Comedy, Family, Music",Bob Spiers,"$29,342,592"
tt0110857,      Police Academy: Mission to Moscow,73,3.7,PG,1994,"G.W. Bailey, George Gaynes, Michael Winslow","Comedy, Crime",Alan Metter,"$126,247"
tt0275022,      Crossroads,74,3.7,PG-13,2002,"Britney Spears, Anson Mount, Zoe Saldana","Comedy, Drama, Romance",Tamra Davis,"$37,191,304"
tt0368226,      The Room,75,3.7,R,2003,"Tommy Wiseau, Juliette Danielle, Greg Sestero",Drama,Tommy Wiseau,"$549,602"
tt4667094,      Fifty Shades of Black,76,3.7,R,2016,"Marlon Wayans, Kali Hawk, Fred Willard",Comedy,Michael Tiddes,"$11,686,940"
tt7059844,      Dabangg 3,77,3.7,Not Rated,2019,"Salman Khan, Sudeep, Sonakshi Sinha","Action, Comedy, Crime",Prabhu Deva,"$202,000"
tt10481868,      Black Christmas,78,3.8,PG-13,2019,"Imogen Poots, Aleyse Shannon, Lily Donoghue","Horror, Mystery, Thriller",Sophia Takal,"$10,429,730"
tt0119707,      Mortal Kombat: Annihilation,79,3.8,PG-13,1997,"Robin Shou, Talisa Soto, James Remar","Action, Adventure, Fantasy",John R. Leonetti,"$35,927,406"
tt0372873,      Dragon Wars: D-War,80,3.8,PG-13,2007,"Jason Behr, Amanda Brooks, Robert Forster","Action, Drama, Fantasy",Hyung-rae Shim,"$10,977,721"
tt0085750,      Jaws 3-D,81,3.8,PG,1983,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale","Adventure, Horror, Thriller",Joe Alves,"$45,517,055"
tt0095560,      Mac and Me,82,3.8,PG,1988,"Christine Ebersole, Jonathan Ward, Tina Caspary","Adventure, Family, Fantasy",Stewart Raffill,"$6,424,112"
tt0118688,      Batman & Robin,83,3.8,PG-13,1997,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell","Action, Sci-Fi",Joel Schumacher,"$107,353,792"
tt0897361,      I Know Who Killed Me,84,3.8,R,2007,"Lindsay Lohan, Julia Ormond, Neal McDonough","Crime, Mystery, Thriller",Chris Sivertson,"$7,498,716"
tt0424774,      The Adventures of Sharkboy and Lavagirl 3-D,85,3.8,PG,2005,"Cayden Boyd, George Lopez, Kristin Davis","Action, Adventure, Comedy",Robert Rodriguez,"$39,177,684"
tt0450345,      The Wicker Man,86,3.8,PG-13,2006,"Nicolas Cage, Ellen Burstyn, Leelee Sobieski","Horror, Mystery, Thriller",Neil LaBute,"$23,649,127"
tt0094074,      Superman IV: The Quest for Peace,87,3.8,PG,1987,"Christopher Reeve, Gene Hackman, Margot Kidder","Action, Adventure, Sci-Fi",Sidney J. Furie,"$15,681,020"
tt0432291,      The Fog,88,3.8,PG-13,2005,"Tom Welling, Maggie Grace, Selma Blair","Horror, Mystery",Rupert Wainwright,"$29,550,869"
tt0190374,      Dungeons & Dragons,89,3.8,PG-13,2000,"Justin Whalin, Jeremy Irons, Zoe McLellan","Action, Adventure, Fantasy",Courtney Solomon,"$15,391,970"
tt1714203,      Piranha 3DD,90,3.8,R,2012,"Danielle Panabaker, Ving Rhames, David Hasselhoff","Comedy, Horror, Sci-Fi",John Gulager,"$376,512"
tt0094118,      Teen Wolf Too,91,3.8,PG,1987,"Jason Bateman, Kim Darby, John Astin","Comedy, Fantasy",Christopher Leitch,"$7,888,703"
tt6439558,      Recep Ivedik 5,92,3.8,N/A,2017,"Sahan Gökbakar, Orkan Varan, Deniz Ceylan",Comedy,Togan Gökbakar,N/A
tt3138104,      The Hungover Games,93,3.9,R,2014,"Ross Nathan, Sam Pancake, Ben Begley","Adventure, Comedy, Fantasy",Josh Stolberg,N/A
tt0158622,      The Flintstones in Viva Rock Vegas,94,3.9,PG,2000,"Mark Addy, Stephen Baldwin, Kristen Johnston","Comedy, Family, Romance",Brian Levant,"$35,268,275"
tt0811138,      The Love Guru,95,3.9,PG-13,2008,"Mike Myers, Jessica Alba, Romany Malco","Comedy, Romance, Sport",Marco Schnabel,"$32,235,793"
tt0891592,      Street Fighter: The Legend of Chun-Li,96,3.9,PG-13,2009,"Kristin Kreuk, Neal McDonough, Michael Clarke Duncan","Action, Crime, Fantasy",Andrzej Bartkowiak,"$8,742,261"
tt1185266,      Stan Helsing,97,3.9,R,2009,"Steve Howey, Diora Baird, Kenan Thompson","Comedy, Fantasy, Horror",Bo Zenga,N/A
tt0460780,      In the Name of the King: A Dungeon Siege Tale,98,3.9,PG-13,2007,"Jason Statham, Ron Perlman, Ray Liotta","Action, Adventure, Fantasy",Uwe Boll,"$4,775,656"
tt1530509,      The Human Centipede II (Full Sequence),99,3.9,Not Rated,2011,"Laurence R. Harvey, Ashlynn Yennie, Maddi Black",Horror,Tom Six,"$141,877"
tt1231277,      S. Darko,100,3.9,R,2009,"Daveigh Chase, Briana Evigan, James Lafferty","Drama, Mystery, Sci-Fi",Chris Fisher,N/A
